team,res,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,pf
HOU,L,120,46,88,52.3,17,40,42.5,11,17,64.7,2,34,36,25,8,1,17,20
LAL,L,113,40,83,48.2,9,29,31,24,33,72.7,12,38,50,23,6,5,16,22
NYK,W,91,31,87,35.6,5,27,18.5,24,34,70.6,13,40,53,15,6,4,6,16
TOR,W,116,44,88,50,12,33,36.4,16,18,88.9,9,37,46,23,9,6,14,23
ORL,L,84,29,86,33.7,12,38,31.6,14,16,87.5,10,41,51,18,4,9,11,24
PHX,L,104,40,88,45.5,15,36,41.7,9,16,56.3,12,32,44,30,8,4,18,20
SAS,W,125,48,90,53.3,15,33,45.5,14,16,87.5,12,36,48,33,6,6,12,17
MEM,W,108,41,83,49.4,11,26,42.3,15,20,75,9,31,40,31,13,3,15,15
MIL,L,123,46,105,43.8,11,38,28.9,20,24,83.3,11,30,41,21,9,2,5,15
GSW,W,115,44,87,50.6,12,37,32.4,15,20,75,5,27,32,31,8,3,13,27
DAL,L,93,31,82,37.8,9,36,25,22,27,81.5,8,30,38,21,6,4,16,16
MIA,W,113,43,75,57.3,12,30,40,15,19,78.9,5,31,36,23,8,6,18,27
BOS,L,75,25,84,29.8,7,46,15.2,18,29,62.1,14,29,43,15,10,2,17,22
NYK,W,105,38,80,47.5,12,31,38.7,17,21,81,10,43,53,22,11,7,16,28
NOP,W,128,45,85,52.9,11,22,50,27,34,79.4,14,34,48,24,5,1,13,15
SAC,L,123,47,91,51.6,13,39,33.3,16,18,88.9,8,25,33,23,7,7,10,24
UTA,W,109,39,76,51.3,15,37,40.5,16,28,57.1,7,29,36,24,7,6,13,21
DAL,L,101,41,93,44.1,8,31,25.8,11,19,57.9,12,35,47,18,6,2,16,23
CHI,W,117,43,85,50.6,7,25,28,24,33,72.7,5,42,47,32,14,6,13,23
DEN,L,105,40,100,40,14,37,37.8,11,15,73.3,23,29,52,25,6,6,9,23
IND,L,96,37,89,41.6,11,38,28.9,11,16,68.8,6,27,33,28,13,2,16,19
LAC,W,129,48,87,55.2,19,39,48.7,14,20,70,9,43,52,27,4,3,16,19
ORL,L,115,44,95,46.3,14,46,30.4,13,16,81.3,9,29,38,28,13,4,12,19
MIA,L,100,32,67,47.8,12,29,41.4,24,27,88.9,5,26,31,25,1,5,22,21
ATL,L,106,38,87,43.7,6,30,20,24,28,85.7,7,41,48,24,4,6,13,22
CHA,L,113,38,87,43.7,15,36,41.7,22,29,75.9,12,36,48,26,6,5,14,20
DET,W,120,46,91,50.5,18,46,39.1,10,15,66.7,10,29,39,34,9,8,11,28
SAS,W,103,40,100,40,5,24,20.8,18,23,78.3,17,41,58,19,10,7,12,21
POR,W,112,40,103,38.8,15,44,34.1,17,20,85,17,38,55,18,6,8,7,20
BKN,W,122,42,78,53.8,16,35,45.7,22,25,88,4,37,41,24,9,5,19,14
TOR,W,116,36,86,41.9,21,49,42.9,23,26,88.5,7,36,43,28,5,8,15,22
MEM,W,106,43,99,43.4,8,29,27.6,12,18,66.7,11,32,43,27,15,3,11,25
HOU,L,91,31,84,36.9,12,32,37.5,17,27,63,12,39,51,20,6,9,22,20
PHI,L,104,37,84,44,7,25,28,23,32,71.9,15,38,53,23,5,11,22,17
BOS,W,124,45,88,51.1,17,42,40.5,17,19,89.5,6,39,45,25,7,4,10,18
NYK,L,103,40,82,48.8,9,25,36,14,16,87.5,7,32,39,20,9,10,12,21
ATL,L,92,38,92,41.3,5,28,17.9,11,15,73.3,8,33,41,21,6,1,15,16
ORL,L,97,38,94,40.4,7,28,25,14,22,63.6,15,31,46,14,5,1,11,16
DAL,L,109,45,97,46.4,13,36,36.1,6,13,46.2,11,40,51,22,5,6,9,23
LAL,W,112,39,93,41.9,15,37,40.5,19,26,73.1,13,31,44,31,11,6,6,16
MIL,W,112,43,96,44.8,14,37,37.8,12,25,48,16,41,57,22,5,3,10,14
OKC,W,127,48,105,45.7,15,45,33.3,16,24,66.7,7,37,44,26,12,2,11,23
CLE,W,106,36,79,45.6,9,27,33.3,25,34,73.5,14,34,48,26,9,6,15,18
CHI,L,125,43,91,47.3,21,46,45.7,18,25,72,9,47,56,27,5,8,24,25
LAC,W,138,52,89,58.4,18,35,51.4,16,20,80,12,35,47,29,10,3,9,19
UTA,W,116,43,92,46.7,20,44,45.5,10,14,71.4,12,41,53,27,7,6,19,18
NOP,L,95,41,86,47.7,9,29,31,4,8,50,10,37,47,22,3,5,20,21
SAC,L,100,40,85,47.1,8,26,30.8,12,17,70.6,9,23,32,23,4,2,14,16
HOU,W,109,42,86,48.8,13,33,39.4,12,19,63.2,10,39,49,25,6,6,18,16
